LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	Value	Flag Codes
EA19	PASSCAR	TOT	IDX2015	A	1985	75.67666667	
EA19	PASSCAR	TOT	IDX2015	A	1986	84.245	
EA19	PASSCAR	TOT	IDX2015	A	1987	90.9075	
EA19	PASSCAR	TOT	IDX2015	A	1988	95.04	
EA19	PASSCAR	TOT	IDX2015	A	1989	99.12416667	
EA19	PASSCAR	TOT	IDX2015	A	1990	107	
EA19	PASSCAR	TOT	IDX2015	A	1991	110.7458333	
EA19	PASSCAR	TOT	IDX2015	A	1992	112.0758333	
EA19	PASSCAR	TOT	IDX2015	A	1993	88.6	
EA19	PASSCAR	TOT	IDX2015	A	1994	92.85916667	
EA19	PASSCAR	TOT	IDX2015	A	1995	93.265	
EA19	PASSCAR	TOT	IDX2015	A	1996	99.49	
EA19	PASSCAR	TOT	IDX2015	A	1997	103.5475	
EA19	PASSCAR	TOT	IDX2015	A	1998	111.6708333	
EA19	PASSCAR	TOT	IDX2015	A	1999	118.7891667	
EA19	PASSCAR	TOT	IDX2015	A	2000	115.8	
EA19	PASSCAR	TOT	IDX2015	A	2001	114.8808333	
EA19	PASSCAR	TOT	IDX2015	A	2002	109.7683333	
EA19	PASSCAR	TOT	IDX2015	A	2003	108.0841667	
EA19	PASSCAR	TOT	IDX2015	A	2004	110.7233333	
EA19	PASSCAR	TOT	IDX2015	A	2005	111.4716667	
EA19	PASSCAR	TOT	IDX2015	A	2006	114.8208333	
EA19	PASSCAR	TOT	IDX2015	A	2007	114.0741667	
EA19	PASSCAR	TOT	IDX2015	A	2008	105.56	
EA19	PASSCAR	TOT	IDX2015	A	2009	108.8616667	
EA19	PASSCAR	TOT	IDX2015	A	2010	100	
EA19	PASSCAR	TOT	IDX2015	A	2011	98.67425525	
EA19	PASSCAR	TOT	IDX2015	A	2012	87.66552846	
EA19	PASSCAR	TOT	IDX2015	A	2013	82.63697155	
EA19	PASSCAR	TOT	IDX2015	A	2014	86.66186544	
EA19	PASSCAR	TOT	IDX2015	A	2015	95.02583333	
EA19	PASSCAR	TOT	IDX2015	A	2016	101.7683333	
EA19	PASSCAR	TOT	IDX2015	A	2017	106.8475	
EA19	PASSCAR	TOT	IDX2015	A	2018	108.1191667	
EA19	PASSCAR	TOT	IDX2015	A	2019	109.6925	
EA19	PASSCAR	TOT	IDX2015	A	2020	83.1575	
EA19	PASSCAR	TOT	IDX2015	A	2021	80.62833333	
